105  5990.97	2.233158e+00	1.184592e-01	2.085328e+00	9.678491e-01	5.113046e-02	-9.397302e-01	-1.180314e+00	6.997598e-01	7.334549e+00	6.847825e+01	8.194693e-01	
2745  5990.36	2.226849e+00	1.200586e-01	2.081928e+00	9.686582e-01	4.898565e-02	-9.704776e-01	-1.179890e+00	6.973382e-01	7.146439e+00	6.857487e+01	8.303046e-01	
78  5992.17	2.218041e+00	1.209482e-01	2.144232e+00	9.653800e-01	6.205422e-02	-9.578624e-01	-1.158818e+00	6.896870e-01	8.516556e+00	6.791460e+01	8.415535e-01	
402  5992.81	2.211547e+00	1.225960e-01	2.201402e+00	9.645800e-01	7.410723e-02	-1.001343e+00	-1.146335e+00	6.843909e-01	9.718918e+00	6.771373e+01	8.640493e-01	
562  5993.31	2.224569e+00	1.223875e-01	2.178084e+00	9.658152e-01	6.831737e-02	-1.015172e+00	-1.113912e+00	6.879680e-01	9.132828e+00	6.808234e+01	8.592496e-01	
23  5992.29	2.227399e+00	1.211238e-01	2.199449e+00	9.659197e-01	7.539506e-02	-9.979829e-01	-1.130752e+00	6.949667e-01	9.765945e+00	6.856424e+01	8.579977e-01	
127  5990.15	2.213619e+00	1.205724e-01	2.207150e+00	9.651257e-01	7.722274e-02	-9.975379e-01	-1.156456e+00	6.967862e-01	9.959320e+00	6.860417e+01	8.590992e-01	
314  5992.79	2.212955e+00	1.216001e-01	2.241561e+00	9.655219e-01	8.464454e-02	-9.662559e-01	-1.157398e+00	6.832993e-01	1.065701e+01	6.736723e+01	8.629866e-01	
207  5994.8	2.233397e+00	1.214626e-01	2.275405e+00	9.647524e-01	9.303251e-02	-9.785515e-01	-1.162083e+00	6.858764e-01	1.132242e+01	6.765876e+01	8.698041e-01	
397  5992.36	2.235007e+00	1.220138e-01	2.246982e+00	9.624531e-01	8.355612e-02	-9.723916e-01	-1.144516e+00	6.853334e-01	1.050400e+01	6.773356e+01	8.645145e-01	
219  5992.56	2.221160e+00	1.212001e-01	2.253811e+00	9.639742e-01	8.720836e-02	-9.478006e-01	-1.112434e+00	6.821289e-01	1.085355e+01	6.716867e+01	8.572663e-01	
